CONNECTION ID,# EDGES,EDGE IDS
road0,1,688989358#0
road1,2,-176022839,-18122226#5
road2,2,-18122226#6,18122226#6
road3,4,-231133384#0,-231133384#1,231133384#0,231133384#1
road4,1,231133384#2
road5,2,-4321604#0,4321604#0
road6,1,4321604#0
road7,1,538644078
road8,2,-8297011#2,8297011#2
road9,1,-8297011#2
road10,1,-649646585#2
road11,8,-19880888#0,-19880888#1,-4312427#0,-4312427#1,19880888#0,19880888#1,4312427#0,4312427#1
road12,2,19880888#1,4312427#1
road13,1,-8350523
road14,1,-48761963#1
road15,1,-524106171
road16,4,-228535584,-613159894,228535584,613159894
road17,3,-48761963#1,-613159894,40229265
road18,1,228535584
road19,1,48761963#1
road20,2,-688989358#0,688989358#0
road21,1,-688989358#0
road22,1,688989358#1
road23,1,-5602846#0
road24,1,5602846#1
road25,4,-25670227,-5602846#1,25670227,5602846#1
road26,1,-5602846#1
road27,1,215476317#0
road28,1,-215476317#0
road29,12,-215476317#1,-37804500#0,-37804500#1,-37809739#5,-40220745#0,-40220745#1,215476317#1,37804500#0,37804500#1,37809739#5,40220745#0,40220745#1
road30,1,-37809739#4
road31,1,37804500#1
road32,1,19727047
road33,2,-33232746#2,33232746#2
road34,1,-33232746#2
road35,1,22813886#0
road36,1,558371517
road37,1,47009633#0
road38,2,233811549#3,233811549#4
road39,2,-176022839,176022839
road40,1,-176022839
road41,1,-18122226#5
road42,2,176022839,18122226#5
road43,1,-176022838
road44,8,-18122226#3,-18122226#4,-18122226#5,-2483869,18122226#3,18122226#4,18122226#5,2483869
road45,1,-18122226#3
road46,1,18122226#5
road47,1,2483869
road48,4,-29057532#1,-39658930,29057532#1,39658930
road49,1,-29057532#1
road50,1,39658930
road51,1,549062315
road52,1,549062315
road53,1,-2483764#1
road54,1,2483764#2
road55,1,5067441#0
road56,2,-2483764#2,2483764#2
road57,1,-2483764#2
road58,1,-6012200#1
road59,2,-6012201#2,6012200#2
road60,4,-231133384#2,-6012201#2,231133384#2,6012201#2
road61,1,-231133384#2
road62,2,-6012200#2,6012201#2
road63,1,-6012201#1
road64,1,231133384#2
road65,1,-231133384#2
road66,1,231133384#2
road67,2,-231133301#2,231133301#2
road68,1,-231133301#2
road69,1,-4839795#1
road70,2,100540067,4839795#2
road71,8,-100540067,-4321604#0,-4321604#1,-4536606#0,100540067,4321604#0,4321604#1,4536606#0
road72,2,-100540067,-4839795#2
road73,1,-4321604#0
road74,1,2484357#0
road75,1,4536606#0
road76,4,-4536606#0,-4536606#1,4536606#0,4536606#1
road77,1,-4536606#0
road78,8,-195361779,-38875962#0,-38875962#1,-38875962#2,195361779,38875962#0,38875962#1,38875962#2
road79,1,195361779
