ID,mean,std,p50,p85
road1,15.422000,4.434000,14.498000,18.981000
road10,21.972000,5.425000,21.294000,26.638000
road1000,5.143000,4.145000,3.616000,8.319000
road10000,22.113000,10.302000,20.673000,31.653000
road10001,15.029000,6.198000,14.288000,20.963000
road10002,7.192000,6.873000,4.454000,13.750000
road10005,12.044000,11.170000,8.525000,24.501000
road10008,18.465000,9.610000,17.417000,27.750000
road10009,10.131000,7.698000,7.245000,18.354000
road1001,11.920000,2.810000,12.131000,14.496000
road10011,21.915000,7.190000,21.084000,28.368000
road10012,24.039000,8.697000,23.148000,31.772000
road10014,19.483000,8.243000,18.957000,26.460000
road10016,23.507000,8.144000,22.729000,31.022000
road10017,12.339000,6.528000,11.530000,18.086000
road10019,17.653000,6.107000,15.968000,23.882000
road1002,14.152000,4.978000,12.114000,19.221000
road10020,17.163000,6.050000,15.806000,22.567000
road10028,13.242000,3.374000,13.144000,15.514000
road1003,12.074000,4.375000,11.457000,15.573000
road10032,14.622000,8.799000,11.361000,25.387000
road10035,18.576000,11.344000,21.526000,29.882000
road10036,14.093000,5.044000,12.861000,17.302000
road10037,14.511000,7.370000,13.113000,17.480000
road10039,11.410000,1.742000,11.437000,12.321000
road1004,11.879000,3.992000,11.725000,15.326000
road10040,16.934000,8.520000,14.808000,17.107000
road10041,29.698000,17.209000,22.474000,52.607000
road10042,27.566000,19.686000,17.797000,54.406000
road10044,20.761000,7.125000,19.561000,23.909000
road10045,23.120000,8.931000,21.543000,32.311000
road10046,12.133000,3.440000,11.884000,14.548000
road10047,22.270000,9.398000,20.909000,31.976000
road10049,23.133000,8.942000,21.997000,31.423000
road10050,22.465000,8.535000,21.388000,31.305000
road10051,13.785000,6.111000,12.824000,17.573000
road10053,22.270000,9.398000,20.909000,31.976000
road10054,21.921000,8.880000,20.636000,29.813000
road10059,5.065000,3.620000,4.290000,9.168000
road1006,5.531000,4.541000,3.623000,9.385000
road10061,13.708000,3.618000,14.398000,17.673000
road10063,8.150000,2.653000,8.410000,10.436000
road10065,14.698000,5.395000,13.848000,19.499000
road10066,15.735000,2.640000,16.037000,18.234000
road10069,8.327000,6.357000,7.258000,9.277000
road1007,21.338000,7.994000,20.608000,28.050000
road10070,15.650000,7.302000,14.632000,18.846000
road10073,13.411000,3.452000,13.351000,15.398000
road10075,14.152000,4.283000,14.527000,18.129000
road10077,13.063000,2.146000,13.066000,15.554000
road10078,19.399000,8.199000,17.943000,25.295000
road10079,25.177000,9.184000,24.050000,33.855000
road10083,18.051000,8.685000,16.300000,25.820000
road10085,14.248000,6.136000,13.763000,18.833000
road10087,21.406000,7.279000,20.835000,27.453000
road1009,20.044000,7.498000,19.623000,27.071000
road10091,22.116000,6.385000,21.090000,27.686000
road10094,18.262000,8.390000,20.373000,26.019000
road10096,16.997000,6.760000,17.146000,21.384000
road10099,22.749000,5.900000,23.190000,27.904000
road10103,24.692000,6.204000,24.972000,29.999000
road10108,15.851000,3.214000,15.120000,19.579000
road10110,15.075000,11.105000,12.831000,25.701000
road10111,17.768000,4.890000,17.069000,22.139000
road10112,23.084000,6.437000,23.389000,28.809000
road10113,18.371000,5.984000,17.498000,22.307000
road10117,23.915000,10.601000,22.568000,33.890000
road10120,18.870000,6.119000,17.317000,25.412000
road10122,27.375000,7.300000,26.247000,32.976000
road1013,23.219000,7.925000,21.098000,31.419000
road10130,28.251000,10.537000,27.057000,39.255000
road10132,17.513000,8.170000,16.337000,23.238000
road10133,15.643000,7.457000,14.005000,20.472000
road10137,23.266000,9.293000,22.009000,25.945000
road10139,24.620000,10.060000,21.640000,30.243000
road10147,13.746000,7.915000,13.867000,21.067000
road10148,14.785000,5.230000,14.715000,19.640000
road1015,16.374000,4.707000,16.763000,19.886000
road10151,8.573000,4.289000,7.329000,13.098000
road10152,7.309000,4.658000,6.073000,12.062000
road10153,14.314000,9.939000,11.792000,15.071000
road10155,14.314000,9.939000,11.792000,15.071000
road10156,13.359000,10.477000,10.447000,14.278000
road10157,14.314000,9.939000,11.792000,15.071000
road10158,13.315000,4.940000,11.736000,15.215000
road1016,22.159000,7.698000,20.617000,28.355000
road10160,3.659000,4.864000,2.178000,4.863000
road10165,17.139000,9.259000,16.516000,26.211000
road10168,19.559000,7.787000,17.340000,26.098000
road10169,17.913000,7.501000,17.062000,24.341000
road10172,18.511000,10.346000,16.781000,22.565000
road10173,14.883000,5.405000,14.753000,20.221000
road10175,6.482000,5.141000,4.671000,10.186000
road10176,7.860000,6.711000,4.079000,14.702000
road10177,18.511000,10.346000,16.781000,22.565000
road10178,18.490000,7.100000,16.995000,24.446000
road10179,16.300000,9.660000,18.618000,26.285000
road1018,21.805000,8.318000,20.525000,28.169000
road10182,20.784000,7.046000,19.373000,26.281000
road10183,6.647000,8.223000,3.023000,13.691000
road10185,18.490000,7.100000,16.995000,24.446000
road10186,22.035000,7.515000,21.294000,28.608000
road1019,18.385000,7.217000,17.766000,25.256000
road10190,22.740000,8.915000,21.404000,31.219000
road10192,20.638000,10.918000,19.900000,31.853000
road10194,30.092000,10.212000,28.534000,40.295000
road10195,17.766000,5.732000,17.159000,20.805000
road10197,7.375000,6.585000,5.652000,9.369000
road102,12.971000,4.630000,11.798000,16.899000
road10200,8.176000,10.391000,6.002000,9.904000
road10201,12.255000,6.742000,11.497000,18.100000
road10204,21.317000,8.176000,20.378000,29.464000
road10208,12.893000,11.131000,10.764000,23.487000
road10210,12.422000,11.163000,8.889000,24.314000
road10211,13.105000,9.351000,12.631000,22.486000
road10213,24.827000,8.831000,23.790000,33.097000
road10215,14.126000,10.736000,13.198000,23.183000
road10217,8.327000,9.101000,4.848000,17.187000
road10219,11.013000,11.024000,7.701000,22.167000
road10220,12.356000,4.712000,11.719000,15.725000
road10223,14.331000,5.777000,13.328000,18.863000
road10227,24.302000,6.347000,24.451000,30.342000
road10229,11.959000,2.243000,11.789000,13.859000
road10230,19.906000,9.106000,17.579000,25.885000
road10231,20.577000,8.803000,19.933000,30.375000
road10232,11.522000,4.947000,10.259000,16.740000
road10233,25.158000,6.266000,25.215000,31.037000
road10234,21.490000,8.044000,19.801000,31.008000
road10237,14.019000,5.931000,13.718000,17.307000
road1024,19.483000,7.189000,18.543000,27.502000
road10240,11.912000,7.925000,9.053000,19.927000
road10242,10.254000,2.958000,10.321000,13.203000
road10243,26.710000,10.674000,25.625000,37.992000
road10244,22.563000,7.612000,21.677000,29.016000
road10245,14.134000,4.319000,13.492000,19.162000
road10247,12.143000,6.133000,10.710000,14.923000
road10248,17.210000,5.777000,15.949000,24.361000
road10250,11.257000,2.622000,11.322000,13.672000
road10251,11.257000,2.622000,11.322000,13.672000
road10253,17.329000,6.074000,15.841000,23.289000
road10255,17.710000,7.545000,17.199000,21.809000
road1026,11.595000,1.594000,11.522000,12.999000
road10263,23.803000,7.152000,24.035000,30.117000
road10264,15.435000,1.963000,15.300000,17.371000
road10266,15.484000,1.918000,15.460000,17.352000
road10269,15.484000,1.918000,15.460000,17.352000
road1027,18.494000,6.966000,17.534000,25.510000
road10270,15.435000,1.963000,15.300000,17.371000
road10271,12.636000,3.433000,12.168000,15.341000
road10273,26.342000,13.790000,22.750000,37.806000
road10276,15.866000,4.841000,14.933000,20.336000
road10277,19.187000,4.402000,18.554000,22.792000
road10278,15.400000,6.394000,14.366000,17.382000
road1028,13.296000,3.524000,13.977000,16.259000
road10281,14.772000,4.988000,14.073000,17.097000
road10288,8.273000,6.962000,5.719000,15.084000
road1029,19.483000,7.189000,18.543000,27.502000
road10290,23.385000,9.770000,22.183000,33.486000
road10291,15.433000,6.639000,14.321000,21.138000
road10292,11.323000,2.973000,10.673000,13.502000
road10297,17.824000,8.010000,16.610000,22.315000
road10298,14.698000,5.395000,13.848000,19.499000
road103,12.971000,4.630000,11.798000,16.899000
road10300,18.768000,6.663000,17.714000,24.628000
road10304,12.777000,2.774000,12.192000,15.281000
road10305,13.808000,7.653000,13.732000,20.834000
road10306,18.474000,6.789000,17.417000,24.304000
road10307,13.799000,5.601000,12.662000,18.779000
road10309,8.282000,3.251000,8.283000,11.154000
road1031,18.945000,6.906000,17.989000,26.423000
road10310,15.391000,5.899000,14.426000,20.427000
road10314,15.653000,5.420000,14.174000,21.796000
road10315,19.189000,6.971000,18.373000,23.652000
road10316,14.616000,2.906000,14.413000,17.457000
road10318,15.863000,4.192000,15.596000,17.717000
road10320,13.451000,3.221000,13.564000,15.889000
road10322,14.051000,3.020000,14.334000,16.356000
road10329,16.668000,6.579000,15.779000,23.001000
road1033,18.523000,7.110000,18.032000,25.768000
road10330,8.167000,5.007000,6.486000,12.584000
road10332,13.247000,7.228000,12.384000,14.503000
road10333,16.722000,6.587000,17.326000,21.534000
road10336,17.914000,5.143000,18.288000,21.791000
road10338,16.739000,5.976000,17.407000,21.384000
road10345,16.433000,3.264000,16.518000,19.509000
road10347,15.630000,4.482000,15.318000,18.323000
road10349,18.730000,6.268000,17.877000,23.009000
road1035,22.635000,8.899000,21.789000,30.947000
road10351,18.286000,4.685000,17.852000,22.456000
road10358,23.293000,9.446000,22.200000,32.306000
road10359,28.308000,6.964000,27.048000,34.213000
road1036,12.511000,6.629000,10.898000,20.239000
road10362,21.263000,10.228000,20.455000,30.116000
road10363,20.276000,9.687000,19.149000,27.487000
road10365,19.675000,6.515000,19.292000,26.183000
road10366,20.346000,8.627000,18.995000,27.371000
road10368,20.407000,9.200000,18.830000,25.982000
road10369,17.513000,8.170000,16.337000,23.238000
road1037,18.643000,7.288000,18.060000,25.855000
road10374,10.827000,3.028000,10.410000,13.576000
road10375,10.827000,3.028000,10.410000,13.576000
road10377,28.349000,7.155000,27.469000,34.537000
road10378,28.864000,7.463000,27.430000,32.440000
road10379,21.305000,5.390000,20.836000,25.316000
road10380,10.827000,3.028000,10.410000,13.576000
road10383,26.438000,6.124000,25.470000,32.069000
road10386,25.120000,8.795000,24.031000,33.315000
road10388,21.664000,7.763000,20.555000,29.242000
road1039,5.311000,6.718000,2.865000,8.966000
road10391,26.098000,9.165000,24.699000,35.263000
road10392,22.076000,7.920000,20.990000,29.882000
road10393,26.918000,9.114000,25.660000,35.987000
road10395,17.298000,4.711000,16.793000,20.959000
road10396,19.682000,6.674000,18.858000,25.276000
road10397,11.111000,3.852000,10.752000,14.706000
road10398,12.177000,3.770000,11.069000,14.865000
