ID,mean,std,p50,p85
-100306119,11.699000,3.920000,11.394000,15.130000
-100514384#0,9.599000,8.554000,6.200000,19.910000
-100514384#1,9.599000,8.554000,6.200000,19.910000
-100514387#0,14.044000,9.325000,13.092000,23.221000
-100514387#1,14.044000,9.325000,13.092000,23.221000
-100514387#3,14.044000,9.325000,13.092000,23.221000
-100514387#4,14.044000,9.325000,13.092000,23.221000
-100514387#5,14.044000,9.325000,13.092000,23.221000
-100520119#0,5.198000,3.302000,4.476000,8.142000
-100520119#1,5.198000,3.302000,4.476000,8.142000
-100614548,14.080000,4.121000,13.862000,17.579000
-100623123,3.921000,4.094000,2.283000,7.178000
-10064542,11.608000,5.502000,11.603000,17.399000
-100784355,20.905000,9.926000,19.751000,28.373000
-100968809,13.449000,9.124000,14.054000,22.401000
-102227922#0,16.898000,6.436000,15.393000,23.813000
-102227922#1,16.898000,6.436000,15.393000,23.813000
-102745231,7.927000,7.852000,5.396000,12.991000
-102745233,7.598000,2.619000,7.471000,9.890000
-102950257#0,17.331000,6.140000,16.887000,23.280000
-102950257#1,17.331000,6.140000,16.887000,23.280000
-102950257#11,17.331000,6.140000,16.887000,23.280000
-102950257#12,17.331000,6.140000,16.887000,23.280000
-102950257#2,17.331000,6.140000,16.887000,23.280000
-102950257#3,17.331000,6.140000,16.887000,23.280000
-102950257#4,17.331000,6.140000,16.887000,23.280000
-102950257#5,17.331000,6.140000,16.887000,23.280000
-102950257#6,17.331000,6.140000,16.887000,23.280000
-102950257#7,17.331000,6.140000,16.887000,23.280000
-102950257#8,17.331000,6.140000,16.887000,23.280000
-102950257#9,17.331000,6.140000,16.887000,23.280000
-10341310,22.497000,5.506000,21.608000,28.272000
-10341317,22.451000,8.927000,21.202000,29.073000
-10430408#0,12.854000,8.663000,9.948000,23.009000
-10430408#1,12.854000,8.663000,9.948000,23.009000
-10430410#0,15.710000,7.270000,14.864000,23.100000
-10430410#1,15.710000,7.270000,14.864000,23.100000
-10430410#2,15.710000,7.270000,14.864000,23.100000
-10430410#3,15.710000,7.270000,14.864000,23.100000
-10430412,14.986000,4.503000,14.535000,18.586000
-10430413,12.093000,3.295000,12.095000,15.292000
-104867630,18.490000,9.002000,17.773000,26.207000
-10494982#0,13.308000,4.338000,13.209000,17.373000
-10494982#1,13.308000,4.338000,13.209000,17.373000
