CONNECTION ID,# EDGES,EDGE IDS
road0,1,11201515
road1,1,-77691892
road2,1,-210709360
road3,1,-210709326
road4,1,-157610626#8
road5,1,-210709377
road6,1,-11201515
road7,1,11201515
road8,1,-77691892
road9,1,77691892
road10,1,-210709360
road11,1,210709360
road12,1,-210709326
road13,1,210709326
road14,1,-213563529
road15,1,-11200570#1
road16,1,-11202779
road17,1,-157610626#8
road18,1,157610626#8
road19,1,11192983
road20,1,-210709377
road21,1,210709377
road22,1,-11201515
road23,1,11201515
road24,1,-77691892
road25,1,77691892
road26,1,-210709360
road27,1,210709360
road28,1,-210709326
road29,1,210709326
road30,1,-213563529
road31,1,213563529
road32,1,49887047
road33,1,gneE1
road34,1,-73817079#0
road35,1,-11200570#1
road36,1,11200570#1
road37,1,-11194532
road38,1,-11202779
road39,1,11202779
road40,1,-157610626#8
road41,1,157610626#8
road42,1,11192983
road43,1,-210709377
road44,1,210709377
road45,1,-11201515
road46,1,11201515
road47,1,-77691892
road48,1,77691892
road49,1,-210709360
road50,1,210709360
road51,1,-210709326
road52,1,210709326
road53,1,-213563529
road54,1,213563529
road55,1,49887047
road56,1,gneE1
road57,1,-73817079#0
road58,1,73817079#0
road59,1,-11200570#1
road60,1,11200570#1
road61,1,-11194532
road62,1,11194532
road63,1,-11202779
road64,1,11202779
road65,1,-157610626#8
road66,1,157610626#8
road67,1,11192983
road68,1,-210709377
road69,1,210709377
road70,1,-11201515
road71,1,11201515
road72,1,-77691892
road73,1,77691892
road74,1,-210709360
road75,1,210709360
road76,1,-210709326
road77,1,210709326
road78,1,-213563529
road79,1,213563529
road80,1,49887047
road81,2,32086494,548660523
road82,1,-73817079#0
road83,1,73817079#0
road84,1,-210605407
road85,1,-11200570#1
road86,1,11200570#1
road87,1,-11194532
road88,1,11194532
road89,1,-11194532
road90,1,11194532
road91,1,-11202779
road92,1,11202779
road93,1,-157610626#8
road94,1,157610626#8
road95,1,-210709379#1
road96,1,210709377
road97,1,-11201515
road98,1,11201515
road99,1,-77691892
road100,1,77691892
road101,1,-210709360
road102,1,210709360
road103,1,-210709326
road104,1,210709326
road105,1,-213563529
road106,1,213563529
road107,1,49887047
road108,2,32086494,548660523
road109,1,-73817079#0
road110,1,73817079#0
road111,1,-210605407
road112,1,210605407
road113,1,-11200570#1
road114,1,11200570#1
road115,2,-11194532,11194532
road116,1,-11194532
road117,1,11194532
road118,1,-11194532
road119,1,11194532
road120,1,-11202779
road121,1,11202779
road122,1,-157610626#8
road123,1,157610626#8
road124,1,-210605791
road125,1,-210605814
road126,1,-127605036
road127,1,-210709371
road128,1,-210709371
road129,1,210709371
road130,1,-210709371
road131,1,210709371
road132,1,-210709371
road133,1,210709371
road134,1,-210709371
road135,1,210709371
road136,1,-210709368
road137,1,210709371
road138,1,-210709369
road139,1,210709368
road140,1,-210709379#1
road141,1,210709379#1
road142,1,-11201515
road143,1,11201515
road144,1,-210709372
road145,1,-44077108#1
road146,1,-210709372
road147,1,210709372
road148,1,-210709372
road149,1,210709372
road150,1,-210709372
road151,1,210709372
road152,1,-210709374#1
road153,1,210709372
road154,1,-210709374#1
road155,1,210709374#1
road156,1,-210709374#1
road157,1,210709374#1
road158,1,-210709374#1
road159,1,210709374#1
road160,1,-210709374#1
road161,1,210709374#1
road162,1,-210709374#1
road163,1,210709374#1
road164,1,-210709374#1
road165,1,210709374#1
road166,1,-210709374#1
road167,1,210709374#1
road168,1,-210709374#1
road169,1,210709374#1
road170,1,-210709374#1
road171,1,210709374#1
road172,1,-210709374#1
road173,1,210709374#1
road174,1,-210709374#1
road175,1,210709374#1
road176,1,-210709374#1
road177,1,210709374#1
road178,1,-210709374#1
road179,1,210709374#1
road180,1,-210709374#1
road181,1,210709374#1
road182,1,-210709374#1
road183,1,210709374#1
road184,1,-210709374#0
road185,1,210709374#1
road186,1,-210709374#0
road187,1,210709374#0
road188,1,-210709374#0
road189,1,210709374#0
road190,1,-210709374#0
road191,1,210709374#0
road192,1,-210709374#0
road193,1,210709374#0
road194,1,-210709374#0
road195,1,210709374#0
road196,1,-210709374#0
road197,1,210709374#0
road198,1,-210709374#0
road199,1,210709374#0
road200,1,-210709374#0
road201,1,210709374#0
road202,1,-210709374#0
road203,1,210709374#0
road204,1,-210709374#0
road205,1,210709374#0
road206,1,-210709374#0
road207,1,210709374#0
road208,1,-210709373
road209,1,210709374#0
road210,1,-11189836#1
